code,default,en,ru
ready4trade,Ready4Trade,Ready4Trade,
central.asia,Central Asia,Central Asia,Центральная Азия
ready4trade.central.asia.is.a.four.year.eu.funded.project.which.aims.to.promote.intra.regional.and.international.trade.in.five.central.asian.countries.ndash.kazakhstan.kyrgyzstan.tajikistan.turkmenistan.and.uzbekistan.this.will.be.achieved.by.enhanci...,"Ready4Trade Central Asia is a four-year EU-funded project, which aims to promote intra-regional and international trade in five Central Asian countries &ndash; Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan and Uzbekistan. This will be achieved by enhancing the transparency of cross-border requirements, removing regulatory and procedural barriers, strengthening business capability to comply with trade formalities and standards, as well as by improving cross-border e-commerce.","Ready4Trade Central Asia is a four-year EU-funded project, which aims to promote intra-regional and international trade in five Central Asian countries &ndash; Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan and Uzbekistan. This will be achieved by enhancing the transparency of cross-border requirements, removing regulatory and procedural barriers, strengthening business capability to comply with trade formalities and standards, as well as by improving cross-border e-commerce.","Ready4Trade Central Asia - это четырехлетний проект, финансируемый ЕС, который направлен на продвижение внутрирегиональной и международной торговли в пяти странах Центральной Азии - Казахстане, Кыргызстане, Таджикистане, Туркменистане и Узбекистане. Это будет достигнуто путем повышения прозрачности трансграничных требований, устранения нормативных и процедурных барьеров, укрепления потенциала бизнеса для соблюдения торговых формальностей и стандартов, а также путем улучшения трансграничной электронной коммерции."
ready4trade.central.asia.is.the.third.component.in.the.framework.of.a.larger.eu.funded.programme.aimed.to.support.investment.competitiveness.and.trade.in.central.asia,"Ready4Trade Central Asia is the third component in the framework of a larger EU-funded programme aimed to support Investment, Competitiveness and Trade in Central Asia.","Ready4Trade Central Asia is the third component in the framework of a larger EU-funded programme aimed to support Investment, Competitiveness and Trade in Central Asia.","Ready4Trade Central Asia - это третий компонент в рамках более крупной программы, финансируемой ЕС, направленной на поддержку инвестиций, конкурентоспособности и торговли в Центральной Азии. "
although.ready4trade.central.asia.will.reap.synergies.from.regional.implementation.the.ensuing.technical.interventions.will.respond.to.the.individual.needs.and.priorities.of.each.beneficiary.country,"Although Ready4Trade Central Asia will reap synergies from regional implementation, the ensuing technical interventions will respond to the individual needs and priorities of each beneficiary country.","Although Ready4Trade Central Asia will reap synergies from regional implementation, the ensuing technical interventions will respond to the individual needs and priorities of each beneficiary country.","Хотя Ready4Trade Central Asia получит синергетический эффект от региональной реализации, последующие технические мероприятия будут отвечать индивидуальным потребностям и приоритетам каждой страны-бенефициара."
the.project.is.implemented.by.the.international.trade.centre.in.close.collaboration.with.national.partners,The project is implemented by the International Trade Centre in close collaboration with national partners.,The project is implemented by the International Trade Centre in close collaboration with national partners.,Проект реализуется Международным Торговым Центром в тесном сотрудничестве с национальными партнерами.
timeline,Timeline,Timeline,Время проведения
january.2020.december.2023,January 2020 - December 2023,January 2020 - December 2023,Январь 2020 - Декабрь 2023
stakeholders,Stakeholders,Stakeholders,Стейкхолдеры
governments,Governments,Governments,Правительства
smes,SMEs,SMEs,МСП
bsos,BSOs,BSOs,
project.focus,Project Focus,Project Focus,Направление проекта
the.ready4trade.project.focuses.on.six.areas,The Ready4Trade project focuses on six areas:,The Ready4Trade project focuses on six areas:,Проект Ready 4 Trade фокусируется на шести областях:
establishing.trade.facilitation.portals,Establishing Trade Facilitation Portals,Establishing Trade Facilitation Portals,Создание порталов по упрощению процедур торговли
addressing.obstacles.to.trade,Addressing obstacles to trade,Addressing obstacles to trade,Устранение препятствий для торговли
helping.smes.comply.with.cross.border.requirements,Helping SMEs comply with cross-border requirements,Helping SMEs comply with cross-border requirements,Помощь МСП в соблюдении трансграничных требований
supporting.women.in.trade,Supporting women in trade,Supporting women in trade,Поддержка женщин в торговле
boosting.smes.e.commerce.presence,Boosting SMEs’ e-commerce presence,Boosting SMEs’ e-commerce presence,Расширение присутствия МСП в сфере электронной коммерции
developing.e.commerce.strategies,Developing e-commerce strategies,Developing e-commerce strategies,Разработка стратегий электронной коммерции
ready4trade.news,Ready4Trade News,Ready4Trade News,Новости Ready4Trade
ready4trade.infographics,Ready4Trade Infographics,Ready4Trade Infographics,Инфографика Ready4Trade 
country.focus,Country focus,Country focus,Страновой фокус
news,News,News,Новости
success.stories,Success stories,Success stories,Истроии успеха
newsletters,Newsletters,Newsletters,Информационная рассылка
infographics,Infographics,Infographics,Инфографика
team,Team,Team,Команда
the.ready4trade.central.asia.project.contributes.to.the.overall.sustainable.and.inclusive.economic.development.of.five.central.asian.countries.including.kazakhstan.by.boosting.intra.regional.and.international.trade.in.the.region,"The Ready4Trade Central Asia project contributes to the overall sustainable and inclusive economic development of five Central Asian countries, including Kazakhstan, by boosting intra-regional and international trade in the region.","The Ready4Trade Central Asia project contributes to the overall sustainable and inclusive economic development of five Central Asian countries, including Kazakhstan, by boosting intra-regional and international trade in the region.","Проект Ready4Trade Central Asia вносит вклад в общее устойчивое и инклюзивное экономическое развитие пяти стран Центральной Азии, включая Казахстан, путем стимулирования внутрирегиональной и международной торговли в регионе."
in.kazakhstan.the.project.is.comprised.of.the.following.components,"In Kazakhstan, the project is comprised of the following components:","In Kazakhstan, the project is comprised of the following components:",В Казахстане проект реализует следующие компоненты:
establishing.a.trade.facilitation.portal,Establishing a Trade Facilitation Portal,Establishing a Trade Facilitation Portal,Создание порталов по упрощению процедур торговли
developing.comprehensive.e.commerce.legislation,Developing comprehensive e-commerce legislation,Developing comprehensive e-commerce legislation,Разработка всеобъемлющего законодательства в области электронной торговли
